route_group,split,release,official_split,collection,route_leakage_group,physical_collection_group,start_unix_ms,end_unix_ms,duration_s
2022/train/2020-12-10-US-SJC-1,source_val,2022,train,2020-12-10-US-SJC-1,route:e1609b7a5cc95f5c,collection:8f1d08b8975ea066,1607638645445,1607640138445,1493.0
2022/train/2020-12-10-US-SJC-2,source_val,2022,train,2020-12-10-US-SJC-2,route:e1609b7a5cc95f5c,collection:61ae1f1b08e253c9,1607640762431,1607642168431,1406.0
2022/train/2021-08-04-US-SJC-1,source_val,2022,train,2021-08-04-US-SJC-1,route:e1609b7a5cc95f5c,collection:0c5c51d87c0038fb,1628109629445,1628111180445,1551.0
2022/train/2021-12-08-US-LAX-1,source_val,2022,train,2021-12-08-US-LAX-1,route:81471b930b8dc32d,collection:81471b930b8dc32d,1638984169448,1638985609448,1440.0
2023/train/2020-12-10-22-17-us-ca-sjc-c,source_val,2023,train,2020-12-10-22-17-us-ca-sjc-c,route:e1609b7a5cc95f5c,collection:8f1d08b8975ea066,1607638643999,1607640137999,1494.0
2023/train/2020-12-10-22-52-us-ca-sjc-c,source_val,2023,train,2020-12-10-22-52-us-ca-sjc-c,route:e1609b7a5cc95f5c,collection:61ae1f1b08e253c9,1607640759999,1607642166999,1407.0
2023/train/2021-08-04-20-40-us-ca-sjc-c,source_val,2023,train,2021-08-04-20-40-us-ca-sjc-c,route:e1609b7a5cc95f5c,collection:0c5c51d87c0038fb,1628109632000,1628111184999,1552.999
2023/train/2021-12-08-17-22-us-ca-lax-a,source_val,2023,train,2021-12-08-17-22-us-ca-lax-a,route:81471b930b8dc32d,collection:81471b930b8dc32d,1638984169448,1638985610448,1441.0
2023/train/2023-09-07-18-59-us-ca,source_val,2023,train,2023-09-07-18-59-us-ca,route:96cd4b3cd575d81e,collection:96cd4b3cd575d81e,1694113198449,1694114369449,1171.0
2023/train/2023-09-07-19-33-us-ca,source_val,2023,train,2023-09-07-19-33-us-ca,route:e8166b6e8353308d,collection:e8166b6e8353308d,1694115207434,1694116292434,1085.0
2022/train/2021-03-10-US-MTV-1,target_adapt,2022,train,2021-03-10-US-MTV-1,route:1971e20fee0b1c9c,collection:1971e20fee0b1c9c,1615417983662,1615419444429,1460.767
2023/train/2021-03-10-23-13-us-ca-mtv-h,target_adapt,2023,train,2021-03-10-23-13-us-ca-mtv-h,route:1971e20fee0b1c9c,collection:1971e20fee0b1c9c,1615417984999,1615419445000,1460.001
2023/train/2021-04-02-20-43-us-ca-mtv-f,target_adapt,2023,train,2021-04-02-20-43-us-ca-mtv-f,route:9d8256ea91a049d0,collection:9d8256ea91a049d0,1617396187000,1617398470000,2283.0
2023/train/2021-04-26-23-38-us-ca-mtv-h,target_adapt,2023,train,2021-04-26-23-38-us-ca-mtv-h,route:e98f25d56f24eb8a,collection:e98f25d56f24eb8a,1619480283999,1619483401999,3118.0
2023/train/2021-08-24-20-32-us-ca-mtv-h,target_adapt,2023,train,2021-08-24-20-32-us-ca-mtv-h,route:f44cdfc9e647eb48,collection:f44cdfc9e647eb48,1629837164000,1629840302999,3138.999
2023/train/2022-01-11-18-48-us-ca-mtv-n,target_adapt,2023,train,2022-01-11-18-48-us-ca-mtv-n,route:fac6dfaf4ff3cfa1,collection:fac6dfaf4ff3cfa1,1641926922000,1641927862000,940.0
2023/train/2022-10-06-21-51-us-ca-mtv-n,target_adapt,2023,train,2022-10-06-21-51-us-ca-mtv-n,route:2425a61060fc347f,collection:2425a61060fc347f,1665093124006,1665094337000,1212.994
2023/train/2023-03-08-21-34-us-ca-mtv-u,target_adapt,2023,train,2023-03-08-21-34-us-ca-mtv-u,route:a73ebdbc502a2e42,collection:a73ebdbc502a2e42,1678311290448,1678312391448,1101.0
2021/train/2020-05-14-US-MTV-1,target_test,2021,train,2020-05-14-US-MTV-1,route:73f7d23fc72e6ef6,collection:73f7d23fc72e6ef6,1589494245442,1589495984442,1739.0
2021/train/2020-05-14-US-MTV-2,target_test,2021,train,2020-05-14-US-MTV-2,route:095c1cded2ee0f5d,collection:095c1cded2ee0f5d,1589503612442,1589505381442,1769.0
2021/train/2020-05-21-US-MTV-1,target_test,2021,train,2020-05-21-US-MTV-1,route:4e978319be456248,collection:4e978319be456248,1590084575431,1590086609431,2034.0
2021/train/2020-05-21-US-MTV-2,target_test,2021,train,2020-05-21-US-MTV-2,route:a9e229d7eae7ee9d,collection:a9e229d7eae7ee9d,1590096146434,1590098110434,1964.0
2021/train/2020-05-29-US-MTV-1,target_test,2021,train,2020-05-29-US-MTV-1,route:28293bbc70bbcc6d,collection:28293bbc70bbcc6d,1590792268438,1590794180439,1912.001
2021/train/2020-05-29-US-MTV-2,target_test,2021,train,2020-05-29-US-MTV-2,route:e47360cb1d4cc5ed,collection:e47360cb1d4cc5ed,1590794842440,1590796844440,2002.0
2021/train/2020-06-04-US-MTV-1,target_test,2021,train,2020-06-04-US-MTV-1,route:a7012f33778bcc5e,collection:a7012f33778bcc5e,1591304275441,1591305988441,1713.0
2021/train/2020-06-05-US-MTV-1,target_test,2021,train,2020-06-05-US-MTV-1,route:5f6637c0264e7744,collection:5f6637c0264e7744,1591378855441,1591380818441,1963.0
2021/train/2020-06-05-US-MTV-2,target_test,2021,train,2020-06-05-US-MTV-2,route:74d1b0ef0502f0d4,collection:74d1b0ef0502f0d4,1591388272440,1591390079440,1807.0
2021/train/2020-06-11-US-MTV-1,target_test,2021,train,2020-06-11-US-MTV-1,route:6d2378df2b433323,collection:6d2378df2b433323,1591898724446,1591900714446,1990.0
2021/train/2020-07-08-US-MTV-1,target_test,2021,train,2020-07-08-US-MTV-1,route:a1ebab26a5483553,collection:a1ebab26a5483553,1594247265436,1594249498436,2233.0
2021/train/2020-07-17-US-MTV-1,target_test,2021,train,2020-07-17-US-MTV-1,route:21f4cc09ed5beb46,collection:21f4cc09ed5beb46,1595024717000,1595026811000,2094.0
2021/train/2020-07-17-US-MTV-2,target_test,2021,train,2020-07-17-US-MTV-2,route:cbf3c350a4e62d80,collection:cbf3c350a4e62d80,1595027595000,1595029336000,1741.0
2021/train/2020-08-03-US-MTV-1,target_test,2021,train,2020-08-03-US-MTV-1,route:e4a39d017513d436,collection:e4a39d017513d436,1596490160000,1596492134000,1974.0
2021/train/2020-08-06-US-MTV-2,target_test,2021,train,2020-08-06-US-MTV-2,route:d16f5fbf0169f684,collection:d16f5fbf0169f684,1596754334000,1596756077000,1743.0
2021/train/2021-04-15-US-MTV-1,target_test,2021,train,2021-04-15-US-MTV-1,route:e0b4ccfcc9d51077,collection:e0b4ccfcc9d51077,1618521942445,1618523640445,1698.0
2021/train/2021-04-28-US-MTV-1,target_test,2021,train,2021-04-28-US-MTV-1,route:3c51c99d38d69b38,collection:f07bbb34b28a2d63,1619648330434,1619650328434,1998.0
2021/train/2021-04-29-US-MTV-1,target_test,2021,train,2021-04-29-US-MTV-1,route:3c51c99d38d69b38,collection:ac8327d4a4724f1f,1619733685433,1619735288653,1603.22
2022/train/2020-05-15-US-MTV-1,target_test,2022,train,2020-05-15-US-MTV-1,route:647dea2f2d5f10e7,collection:647dea2f2d5f10e7,1589573679445,1589577040445,3361.0
2022/train/2020-05-21-US-MTV-1,target_test,2022,train,2020-05-21-US-MTV-1,route:4e978319be456248,collection:4e978319be456248,1590084559431,1590086510431,1951.0
2022/train/2020-05-21-US-MTV-2,target_test,2022,train,2020-05-21-US-MTV-2,route:a9e229d7eae7ee9d,collection:a9e229d7eae7ee9d,1590096130434,1590098018434,1888.0
2022/train/2020-05-28-US-MTV-2,target_test,2022,train,2020-05-28-US-MTV-2,route:793502476830ddc5,collection:793502476830ddc5,1590701019445,1590703230445,2211.0
2022/train/2020-05-29-US-MTV-1,target_test,2022,train,2020-05-29-US-MTV-1,route:28293bbc70bbcc6d,collection:28293bbc70bbcc6d,1590792293438,1590794171438,1878.0
2022/train/2020-05-29-US-MTV-2,target_test,2022,train,2020-05-29-US-MTV-2,route:e47360cb1d4cc5ed,collection:e47360cb1d4cc5ed,1590794869440,1590796832440,1963.0
2022/train/2020-06-04-US-MTV-1,target_test,2022,train,2020-06-04-US-MTV-1,route:a7012f33778bcc5e,collection:a7012f33778bcc5e,1591304310441,1591305964441,1654.0
2022/train/2020-06-04-US-MTV-2,target_test,2022,train,2020-06-04-US-MTV-2,route:1e37f89b112b1d83,collection:1e37f89b112b1d83,1591313194448,1591314843448,1649.0
2022/train/2020-06-05-US-MTV-1,target_test,2022,train,2020-06-05-US-MTV-1,route:5f6637c0264e7744,collection:5f6637c0264e7744,1591378844200,1591380685440,1841.24
2022/train/2020-06-05-US-MTV-2,target_test,2022,train,2020-06-05-US-MTV-2,route:74d1b0ef0502f0d4,collection:74d1b0ef0502f0d4,1591388263499,1591389944439,1680.94
2022/train/2020-06-10-US-MTV-1,target_test,2022,train,2020-06-10-US-MTV-1,route:d3af7dd876dce295,collection:d3af7dd876dce295,1591811323447,1591812923447,1600.0
2022/train/2020-06-10-US-MTV-2,target_test,2022,train,2020-06-10-US-MTV-2,route:6d6c919b8f2fe05f,collection:6d6c919b8f2fe05f,1591819462443,1591821214443,1752.0
2022/train/2020-06-11-US-MTV-1,target_test,2022,train,2020-06-11-US-MTV-1,route:6d2378df2b433323,collection:6d2378df2b433323,1591898776446,1591900623446,1847.0
2022/train/2020-06-18-US-MTV-1,target_test,2022,train,2020-06-18-US-MTV-1,route:7460e86269b1ceb2,collection:7460e86269b1ceb2,1592515700442,1592517162442,1462.0
2022/train/2020-06-24-US-MTV-1,target_test,2022,train,2020-06-24-US-MTV-1,route:fdafdef77bd5dd16,collection:fdafdef77bd5dd16,1593045252440,1593046550440,1298.0
2022/train/2020-06-24-US-MTV-2,target_test,2022,train,2020-06-24-US-MTV-2,route:0e76375d2d507290,collection:0e76375d2d507290,1593048146431,1593049494431,1348.0
2022/train/2020-07-08-US-MTV-1,target_test,2022,train,2020-07-08-US-MTV-1,route:a1ebab26a5483553,collection:a1ebab26a5483553,1594247334436,1594249463436,2129.0
2022/train/2020-07-08-US-MTV-2,target_test,2022,train,2020-07-08-US-MTV-2,route:666d30a3932cdf05,collection:666d30a3932cdf05,1594250775436,1594252893436,2118.0
2022/train/2020-07-17-US-MTV-2,target_test,2022,train,2020-07-17-US-MTV-2,route:cbf3c350a4e62d80,collection:cbf3c350a4e62d80,1595027615441,1595029311441,1696.0
2022/train/2020-07-24-US-MTV-1,target_test,2022,train,2020-07-24-US-MTV-1,route:def352fd16dfa108,collection:def352fd16dfa108,1595625722441,1595627870441,2148.0
2022/train/2020-07-24-US-MTV-2,target_test,2022,train,2020-07-24-US-MTV-2,route:81495ea6c1398eaf,collection:81495ea6c1398eaf,1595628930436,1595630823436,1893.0
2022/train/2020-08-03-US-MTV-1,target_test,2022,train,2020-08-03-US-MTV-1,route:e4a39d017513d436,collection:e4a39d017513d436,1596490332437,1596492022437,1690.0
2022/train/2020-08-03-US-MTV-2,target_test,2022,train,2020-08-03-US-MTV-2,route:90f221a8dedc4792,collection:90f221a8dedc4792,1596500383437,1596502072437,1689.0
2022/train/2020-08-06-US-MTV-1,target_test,2022,train,2020-08-06-US-MTV-1,route:4a87ff252b21b970,collection:4a87ff252b21b970,1596751182446,1596752970446,1788.0
2022/train/2020-08-06-US-MTV-2,target_test,2022,train,2020-08-06-US-MTV-2,route:d16f5fbf0169f684,collection:d16f5fbf0169f684,1596754353446,1596756054446,1701.0
2022/train/2020-08-11-US-MTV-1,target_test,2022,train,2020-08-11-US-MTV-1,route:a5ba8f843429977f,collection:a5ba8f843429977f,1597167548648,1597169329447,1780.799
2022/train/2020-08-11-US-MTV-2,target_test,2022,train,2020-08-11-US-MTV-2,route:0cd04c227d247d06,collection:0cd04c227d247d06,1597170003447,1597171632447,1629.0
2022/train/2020-08-13-US-MTV-1,target_test,2022,train,2020-08-13-US-MTV-1,route:6f5e7f298cd92c41,collection:6f5e7f298cd92c41,1597354877444,1597356756444,1879.0
2022/train/2020-09-04-US-MTV-1,target_test,2022,train,2020-09-04-US-MTV-1,route:587f477e30dac7b9,collection:587f477e30dac7b9,1599239488637,1599241140652,1652.015
2022/train/2020-09-04-US-MTV-2,target_test,2022,train,2020-09-04-US-MTV-2,route:f8ef31f3ecb9e59a,collection:f8ef31f3ecb9e59a,1599242399429,1599244834429,2435.0
2022/train/2020-11-23-US-MTV-1,target_test,2022,train,2020-11-23-US-MTV-1,route:cab4c735e6b62eb4,collection:cab4c735e6b62eb4,1606178943999,1606179687999,744.0
2022/train/2021-01-05-US-MTV-1,target_test,2022,train,2021-01-05-US-MTV-1,route:7ea550c804249404,collection:7ea550c804249404,1609881147440,1609882444440,1297.0
2022/train/2021-01-05-US-MTV-2,target_test,2022,train,2021-01-05-US-MTV-2,route:1e688b6c895a5efe,collection:1e688b6c895a5efe,1609883563440,1609884720440,1157.0
2022/train/2021-03-16-US-MTV-1,target_test,2022,train,2021-03-16-US-MTV-1,route:e77c634c3e9e714b,collection:6a45cdc5e183de43,1615936310641,1615938227658,1917.017
2022/train/2021-03-16-US-MTV-2,target_test,2022,train,2021-03-16-US-MTV-2,route:70c1d509ef87541c,collection:70c1d509ef87541c,1615921222448,1615923311448,2089.0
2022/train/2021-03-16-US-MTV-3,target_test,2022,train,2021-03-16-US-MTV-3,route:90ff5f1ba36e0f63,collection:90ff5f1ba36e0f63,1615927200435,1615928660435,1460.0
2022/train/2021-04-08-US-MTV-1,target_test,2022,train,2021-04-08-US-MTV-1,route:72b7e8560c952707,collection:72b7e8560c952707,1617917305636,1617918294446,988.81
2022/train/2021-04-21-US-MTV-2,target_test,2022,train,2021-04-21-US-MTV-2,route:e77c634c3e9e714b,collection:1b25a7ca4d72294a,1619023630999,1619025007000,1376.001
2022/train/2021-04-28-US-MTV-1,target_test,2022,train,2021-04-28-US-MTV-1,route:3c51c99d38d69b38,collection:f07bbb34b28a2d63,1619648371999,1619650314999,1943.0
2022/train/2021-04-29-US-MTV-1,target_test,2022,train,2021-04-29-US-MTV-1,route:3c51c99d38d69b38,collection:ac8327d4a4724f1f,1619733718999,1619735276999,1558.0
2022/train/2021-04-29-US-MTV-2,target_test,2022,train,2021-04-29-US-MTV-2,route:3c51c99d38d69b38,collection:cbe71eb9cbb00d84,1619735725999,1619737388000,1662.001
2022/train/2021-07-01-US-MTV-1,target_test,2022,train,2021-07-01-US-MTV-1,route:3c51c99d38d69b38,collection:e11c5565cd9bea6a,1625176219441,1625178778441,2559.0
2022/train/2021-07-14-US-MTV-1,target_test,2022,train,2021-07-14-US-MTV-1,route:8515ef83cbc65970,collection:8515ef83cbc65970,1626295844440,1626297030440,1186.0
2022/train/2021-07-19-US-MTV-1,target_test,2022,train,2021-07-19-US-MTV-1,route:396794e6854d3fc8,collection:396794e6854d3fc8,1626727759438,1626729654438,1895.0
2022/train/2021-07-27-US-MTV-1,target_test,2022,train,2021-07-27-US-MTV-1,route:10c8bc4bc811b617,collection:10c8bc4bc811b617,1627415397439,1627417072439,1675.0
2022/train/2021-12-15-US-MTV-1,target_test,2022,train,2021-12-15-US-MTV-1,route:76b11a506e3ef3d0,collection:76b11a506e3ef3d0,1639594133438,1639595599438,1466.0
2022/train/2021-12-28-US-MTV-1,target_test,2022,train,2021-12-28-US-MTV-1,route:bdc095866f391090,collection:bdc095866f391090,1640722627437,1640724239437,1612.0
2023/train/2020-06-25-00-34-us-ca-mtv-sb-101,target_test,2023,train,2020-06-25-00-34-us-ca-mtv-sb-101,route:fdafdef77bd5dd16,collection:fdafdef77bd5dd16,1593045253440,1593046551440,1298.0
2023/train/2020-07-17-22-27-us-ca-mtv-sf-280,target_test,2023,train,2020-07-17-22-27-us-ca-mtv-sf-280,route:e47f4a375b30499f,collection:e47f4a375b30499f,1595024840441,1595026768441,1928.0
2023/train/2020-07-17-23-13-us-ca-sf-mtv-280,target_test,2023,train,2020-07-17-23-13-us-ca-sf-mtv-280,route:cbf3c350a4e62d80,collection:cbf3c350a4e62d80,1595027615441,1595029312441,1697.0
2023/train/2020-08-04-00-19-us-ca-sb-mtv-101,target_test,2023,train,2020-08-04-00-19-us-ca-sb-mtv-101,route:90f221a8dedc4792,collection:90f221a8dedc4792,1596500384437,1596502073437,1689.0
2023/train/2020-08-04-00-20-us-ca-sb-mtv-101,target_test,2023,train,2020-08-04-00-20-us-ca-sb-mtv-101,route:cec90aed79ea1048,collection:cec90aed79ea1048,1596500444430,1596502072430,1628.0
2023/train/2020-08-13-21-41-us-ca-mtv-sf-280,target_test,2023,train,2020-08-13-21-41-us-ca-mtv-sf-280,route:6f5e7f298cd92c41,collection:6f5e7f298cd92c41,1597354877444,1597356757444,1880.0
2023/train/2020-08-13-21-42-us-ca-mtv-sf-280,target_test,2023,train,2020-08-13-21-42-us-ca-mtv-sf-280,route:3ce05d27b6441cb8,collection:3ce05d27b6441cb8,1597354929434,1597356758434,1829.0
2023/train/2021-01-04-22-40-us-ca-mtv-a,target_test,2023,train,2021-01-04-22-40-us-ca-mtv-a,route:35350c99b00348b4,collection:35350c99b00348b4,1609800006000,1609801861000,1855.0
2023/train/2021-01-05-21-12-us-ca-mtv-d,target_test,2023,train,2021-01-05-21-12-us-ca-mtv-d,route:7ea550c804249404,collection:7ea550c804249404,1609881148999,1609882449999,1301.0
2023/train/2021-01-05-21-52-us-ca-mtv-d,target_test,2023,train,2021-01-05-21-52-us-ca-mtv-d,route:1e688b6c895a5efe,collection:1e688b6c895a5efe,1609883560999,1609884723999,1163.0
2023/train/2021-03-16-18-59-us-ca-mtv-a,target_test,2023,train,2021-03-16-18-59-us-ca-mtv-a,route:70c1d509ef87541c,collection:70c1d509ef87541c,1615921154000,1615923314000,2160.0
2023/train/2021-03-16-19-00-us-ca-mtv-a,target_test,2023,train,2021-03-16-19-00-us-ca-mtv-a,route:70c1d509ef87541c,collection:70c1d509ef87541c,1615921222448,1615923312448,2090.0
2023/train/2021-03-16-20-40-us-ca-mtv-b,target_test,2023,train,2021-03-16-20-40-us-ca-mtv-b,route:90ff5f1ba36e0f63,collection:90ff5f1ba36e0f63,1615927204000,1615928660000,1456.0
2023/train/2021-04-08-21-28-us-ca-mtv-k,target_test,2023,train,2021-04-08-21-28-us-ca-mtv-k,route:72b7e8560c952707,collection:72b7e8560c952707,1617917304431,1617918295431,991.0
2023/train/2021-07-14-20-50-us-ca-mtv-e,target_test,2023,train,2021-07-14-20-50-us-ca-mtv-e,route:8515ef83cbc65970,collection:8515ef83cbc65970,1626295844440,1626297031440,1187.0
2023/train/2021-07-19-20-49-us-ca-mtv-a,target_test,2023,train,2021-07-19-20-49-us-ca-mtv-a,route:396794e6854d3fc8,collection:396794e6854d3fc8,1626727760999,1626729658000,1897.001
2023/train/2021-07-27-19-49-us-ca-mtv-b,target_test,2023,train,2021-07-27-19-49-us-ca-mtv-b,route:10c8bc4bc811b617,collection:10c8bc4bc811b617,1627415390999,1627417088999,1698.0
2023/train/2022-01-26-20-02-us-ca-mtv-pe1,target_test,2023,train,2022-01-26-20-02-us-ca-mtv-pe1,route:9ee0beb92552128a,collection:9ee0beb92552128a,1643227355000,1643229053000,1698.0
2023/train/2022-05-13-20-57-us-ca-mtv-pe1,target_test,2023,train,2022-05-13-20-57-us-ca-mtv-pe1,route:e9b829a989cb87d4,collection:e9b829a989cb87d4,1652475424000,1652477584999,2160.999
2023/train/2022-11-15-00-53-us-ca-mtv-a,target_test,2023,train,2022-11-15-00-53-us-ca-mtv-a,route:e63ee92826428feb,collection:e63ee92826428feb,1668473629445,1668474824445,1195.0
2023/train/2023-05-09-21-32-us-ca-mtv-pe1,target_test,2023,train,2023-05-09-21-32-us-ca-mtv-pe1,route:324394fa0dbaabda,collection:324394fa0dbaabda,1683667937438,1683670068438,2131.0
2023/train/2023-05-16-19-54-us-ca-mtv-xe1,target_test,2023,train,2023-05-16-19-54-us-ca-mtv-xe1,route:9ede3d84dacca601,collection:9ede3d84dacca601,1684266900447,1684269221447,2321.0
2023/train/2023-05-16-19-55-us-ca-mtv-xe1,target_test,2023,train,2023-05-16-19-55-us-ca-mtv-xe1,route:9ede3d84dacca601,collection:9ede3d84dacca601,1684266901000,1684269223000,2322.0
2023/train/2023-05-19-20-10-us-ca-mtv-ie2,target_test,2023,train,2023-05-19-20-10-us-ca-mtv-ie2,route:04d251a3c665595c,collection:04d251a3c665595c,1684527051448,1684528280448,1229.0
2023/train/2023-05-23-19-16-us-ca-mtv-ie2,target_test,2023,train,2023-05-23-19-16-us-ca-mtv-ie2,route:2b71c46fec524ebb,collection:f48d06879cbcc0c7,1684869386435,1684870455435,1069.0
2023/train/2023-05-23-19-56-us-ca-mtv-ie2,target_test,2023,train,2023-05-23-19-56-us-ca-mtv-ie2,route:2b71c46fec524ebb,collection:0cc4095bc8640cda,1684871800000,1684872911000,1111.0
